位置,球員名稱,擊球,力量,跑速,傳球,防守,卡片等級,技能,能力總和平均,角色介紹
外野手,羅克西,192,169,202,202,212,金卡,[旋風式投擲] 接球從未出現失誤，投擲動作獨樹一格,195.4,來自洛杉磯的著名跑酷高手羅克西，決定將她的跑酷技巧運用到棒球運動中。她以完美主義著稱，絕不容忍任何失誤
外野手,正義,222,232,182,173,169,金卡,[猜擊球] 擊中好球帶目標區域的球，飛行距離更遠,195.6,從小正義就憑藉著超凡的身高和力量，成為一名極具統治力的重擊手。儘管體型魁梧，但他精通狂擊球
外野手,羅莎,212,216,179,186,169,金卡,[超級旋轉命中] 擊球後，球的方向會發生不可預測的變化,192.4,羅莎擅長製造無法控制的長擊。 有傳言說她會經是一名網球職業選手 !
外野手,國王,212,222,189,169,186,金卡,[壞球手] 打到壞球的擊球確實度不會扣太多，有機會壞球安,195.6,他喜歡打有挑戰性的投球。 事實上，他擅長打壞球。 作為傳奇棒球選手的父親，他決心成為棒球選手
外野手,安妮,228,169,232,179,169,金卡,[快速防守] 在外野防守期間，移動速度大幅增加,195.4,安妮可以在一瞬間以極快的速度向前衝刺。此外，她還很愛吃布丁
外野手,錘,216,225,199,169,169,金卡,[充電的鞦韆] 不揮棒會充電集氣，力量和擊球數值提升 ,195.6,錘以其爆發力十足的重擊而聞名，他能一擊將力量發揮到極致。他超強的耐力和不懈的努力使他成為一名聲名顯赫的球員
外野手,標記,196,196,196,196,196,金卡,[工具播放器] 分數平手時，打擊時全能力上升，防守時能高速移動快傳,196,來自科羅拉多州的明星，標記一直夢想成為一名頂級外野手。 現在，作為一名專業人士，他在業餘時間釣鱒魚找到和平
外野手,萊恩,186,176,192,228,196,金卡,[鋼鐵手臀] 傳球距離與速度大幅增加，雷射肩,195.6,一名外野手，擁有巨大的肩膀力量和有力的傳球手臂。傳聞他出身於英國貴族
外野手,戴夫,232,232,169,173,173,金卡,[被叫球] 如果球被擊向預測的方向，球的飛行距離就會增加,195.8,他言辭犀利，喜歡嘲諷投手，但他的打擊天賦可以幫助他預測投球方向，讓觀眾保持緊張
外野手,二郎,232,173,222,182,169,金卡,[完美時機] 抓準時機的擊球造成接球失誤，抓準時機的傳球可以快速傳球,195.6,二人郎堅持不懈的職業精神和對揮棒和投球時機的精準把握，使他成為頂尖的首發擊球手，並連續多個賽季獲得安打
外野手,聖地亞哥,225,202,182,182,169,紫卡,[納米DVA] 擊球時可以看到擊球指南,192,小時候，他遭遇了一場事故，導致他失去了一隻眼睛。他接受了使用最新納米技術製造的人造眼。這同予了他獨特的擊球能力。
外野手,魯斯,186,202,222,179,189,紫卡,[特技表演] 跑回本壘時，跳躍躲避捕手 (盜本壘除外),195.6,由於年輕時學過雜技，所以會表演出瘋狂的雜技
外野手,強生,196,212,176,192,186,紫卡,[打擊之眼] 有時候能精準預測球路,192.4,一直喜歡打棒球的強生，決定成為一名職業棒球選手。他天生有一雙銳利的眼睛，能夠預測投手的球路
外野手,克萊門斯,186,169,196,232,179,紫卡,[精確傳球] 總是能傳球至精確位置，雷射肩,192.4,運動天才，贏過高爾夫和撞球錦標賽。現在目標則放在贏得棒球錦標賽上
外野手,麗,222,192,192,186,169,紫卡,[坐在球場上] 隨機球種可以預見投擲動作，從而造成時間變慢的錯覺,192.2,來認識一下麗，一位前劍道神童，後來成為一名職業棒球運動員。 她的技術結合了技巧、預期和精確性
外野手,克里斯,202,186,212,189,173,紫卡,[短跑訓練器] 在防守時，所有外野手的跑動速度都有所提高,192.4,克里斯是一名前田徑教練，他有著對教學的深切投入，他的願望是讓他的隊友擁有他的短跑專長
外野手,具,199,199,199,192,173,紫卡,[超級飛身接球] 增加飛身接球的距離,192.4,在韓國修習棒球且是防守專家。因為吃太多起司漢堡而吃膩了
外野手,安東尼奧,196,212,212,173,169,紫卡,[速度與力量] 成功的擊球會增加跑速，盜壘成功會增加力量,192.4,安東尼奧為了實現父親的夢想而成為棒球運動員。擁有繼承的力量和速度，他自然會延續家族的傳承。
外野手,林,225,182,212,173,169,紫卡,[離合器願景] 有機率用特殊的視力看到較慢的快球,192.2,林愛說話又笨手笨腳，與姊姊麗形成對比。她獨特的視力讓她在關鍵時刻看到球的慢動作，當她和姐姐在同一個團隊時，能力會增加
