位置,球員名稱,擊球,力量,速度,傳球,防守,卡片等級,技能說明,能力總和平均
外野手,正義,222,232,182,173,169,金卡,,195.6
外野手,羅莎,212,216,179,186,169,金卡,,192.4
外野手,國王,212,222,189,169,186,金卡,,195.6
外野手,安妮,228,169,232,179,169,金卡,,195.4
外野手,錘,216,225,199,169,169,金卡,,195.6
外野手,標記,196,196,196,196,196,金卡,,196
外野手,萊恩,186,176,192,228,196,金卡,,195.6
外野手,戴夫,232,232,169,173,173,金卡,,195.8
外野手,二郎,232,173,222,182,169,金卡,,195.6
外野手,聖地亞哥,225,202,182,182,169,紫卡,,192
外野手,魯斯,186,202,222,179,189,紫卡,,195.6
外野手,強生,196,212,176,192,186,紫卡,,192.4
外野手,克萊門斯,186,169,196,232,179,紫卡,,192.4
外野手,麗,222,192,192,186,169,紫卡,,192.2
外野手,克里斯,202,186,212,189,173,紫卡,,192.4
外野手,具,199,199,199,192,173,紫卡,,192.4
外野手,安東尼奧,196,212,212,173,169,紫卡,,192.4
外野手,泰勒,202,212,182,173,192,紫卡,,192.2
外野手,林,225,182,212,173,169,紫卡,,192.2
外野手,瑪克庫斯,182,173,192,212,202,紫卡,,192.2
外野手,喬,176,173,196,209,209,藍卡,,192.6
外野手,克里絲汀,182,212,199,182,186,藍卡,,192.2
外野手,摩根,222,179,212,179,169,藍卡,,192.2
外野手,王,189,196,196,196,186,藍卡,,192.6
外野手,內維尔,202,189,232,169,169,白卡,,192.2
外野手,羅素,176,189,232,176,189,白卡,,192.4
外野手,麥可,205,212,196,179,169,白卡,,192.2
外野手,鳳凰城,192,169,216,216,169,白卡,,192.4
外野手,亞歷山大,212,169,232,179,169,白卡,,192.2
外野手,拉瑪,176,173,212,232,169,白卡,,192.4
內野手,米奇,232,199,189,173,186,金卡,,195.8
內野手,吉布森,216,228,186,169,179,金卡,,195.6
內野手,英二,192,192,176,225,192,金卡,,195.4
內野手,德克斯特,169,169,216,192,232,金卡,,195.6
內野手,瑪蒂娜,225,173,219,176,186,金卡,,195.8
內野手,湯姆,216,232,169,192,169,金卡,,195.6
內野手,圖阿,222,232,169,173,182,金卡,,195.6
內野手,查德,212,202,196,169,182,紫卡,,192.2
內野手,傑克森,202,222,176,173,189,紫卡,,192.4
內野手,威利,225,179,192,169,196,紫卡,,192.2
內野手,吉娜,216,169,232,169,192,紫卡,,195.6
內野手,杜蘭特,186,216,173,219,169,紫卡,,192.6
內野手,福斯,196,169,232,182,182,紫卡,,192.2
內野手,威爾遜,212,212,176,169,192,紫卡,,192.2
內野手,哈登,219,176,219,169,179,紫卡,,192.4
內野手,卡亞,202,202,202,173,182,紫卡,,192.2
內野手,維,232,169,222,169,169,紫卡,,192.2
內野手,獅子座,212,169,192,176,212,紫卡,,192.2
內野手,泰勒,212,222,182,173,173,紫卡,,192.4
內野手,馬丁,192,212,182,182,192,紫卡,,192
內野手,池城,202,182,182,182,212,紫卡,,192
內野手,艾米莉,176,176,222,202,202,紫卡,,195.6
內野手,喬丹,209,192,196,182,182,藍卡,,192.2
內野手,伊布,182,228,169,173,209,藍卡,,192.2
內野手,凱文,212,232,169,176,173,藍卡,,192.4
內野手,漢克,192,189,196,189,196,藍卡,,192.4
內野手,羅賓遜,202,202,216,169,173,藍卡,,192.4
內野手,安德烈,219,228,176,186,169,藍卡,,195.6
內野手,安迪,173,212,232,173,173,藍卡,,192.6
內野手,傑克,173,216,182,202,189,藍卡,,192.4
內野手,哈珀,196,219,189,176,182,藍卡,,192.4
內野手,芭芭拉,173,173,173,222,222,藍卡,,192.6
內野手,半藏,202,169,192,182,216,白卡,,192.2
內野手,史密斯,216,173,222,169,182,白卡,,192.4
內野手,布拉克,205,196,182,173,205,白卡,,192.2
內野手,亞歷山卓,182,216,205,186,173,白卡,,192.4
內野手,泰瑞,192,169,216,179,205,白卡,,192.2
內野手,羅德里格茲,186,173,186,202,212,白卡,,191.8
捕手,潔西卡,212,176,199,196,196,金卡,,195.8
捕手,卡洛斯,173,222,169,232,182,金卡,,195.6
捕手,維克多,216,232,169,176,169,紫卡,,192.4
捕手,馬修,173,202,176,216,196,紫卡,,192.6
捕手,馬力歐,182,202,176,202,189,紫卡,,190.2
捕手,穆雷,199,209,169,192,192,紫卡,,192.2
捕手,尼亞,202,173,202,202,182,紫卡,,192.2
捕手,安吉麗娜,192,173,222,192,182,紫卡,,192.2
捕手,加法器,173,212,169,192,216,紫卡,,192.4
捕手,巴瑞,202,176,202,196,186,藍卡,,192.4
捕手,愛德華,182,179,189,196,216,藍卡,,192.4
捕手,湯尼,196,192,176,228,169,白卡,,192.2
捕手,瑞奇,216,186,202,189,169,白卡,,192.4
捕手,羅斯,222,169,202,173,196,白卡,,192.4
投手(打),偉德,179,179,179,179,179,金卡,,179
投手(打),萊利,179,179,179,179,179,金卡,,179
投手(打),翔太郎,212,202,193,169,169,金卡,,189
投手(打),瑪麗亞,179,179,179,179,179,金卡,,179
投手(打),羅傑,179,179,179,179,179,金卡,,179
投手(打),瑪俐,179,179,179,179,179,金卡,,179
投手(打),默多克,179,179,179,179,179,金卡,,179
投手(打),喬許,179,179,179,179,179,金卡,,179
投手(打),露娜,179,179,179,179,179,金卡,,179
投手(打),西蒙,179,179,179,179,179,金卡,,179
投手(打),杰伊,179,179,179,179,179,紫卡,,179
投手(打),美玲,179,179,179,179,179,紫卡,,179
投手(打),穆勒,179,179,179,179,179,紫卡,,179
投手(打),卡洛琳,179,179,179,179,179,紫卡,,179
