Position,Name,Contact,Power,Speed,Throwing,Fielding,Card Level,Skill Description,Average Total
C,Kevin,150,140,120,160,155,10,Blocks balls well,145
1B,Maria,160,170,110,130,140,11,Power hitter boost,142
2B,Annie,140,120,170,130,150,9,Quick turn double play,142
3B,Harden,155,165,115,150,145,12,Strong arm throw,146
SS,Han,145,130,160,140,160,10,Wide range defense,147
LF,Michael,150,150,140,135,130,10,Clutch hitter,141
CF,Ryan,135,125,180,130,140,11,Super speed catch,142
RF,Gibson,145,160,130,155,135,12,Laser beam throw,145
P,Roger,120,110,100,180,120,13,Fastball master,126
C,Jessica,140,130,130,150,150,10,Frame pitch expert,140
